#Organism/Name,Strain,CladeID,BioSample,BioProject,Group,SubGroup,Assembly,Size (Mb),GC%,Replicons,WGS,Scaffolds,Genes,Proteins,Release Date,Modify Date,Level,RefSeq FTP,GenBank FTP
Streptococcus halotolerans,HTS9,21970,SAMN04562598 ,PRJNA315085,Terrabacteria group,Firmicutes,GCA_001598035.1 ,2.1821,39.2,chromosome:NZ_CP014835.1/CP014835.1,-,1,2048,1861,3/28/2016,4/12/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/598/035/GCF_001598035.1_ASM159803v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/598/035/GCA_001598035.1_ASM159803v1
Streptococcus marmotae,HTS5,51911,SAMN04592763 ,PRJNA316968,Terrabacteria group,Firmicutes,GCA_001623565.1 ,2.32279,40.8461,chromosome:NZ_CP015196.1/CP015196.1; plasmid unnamed 1:NZ_CP015197.1/CP015197.1; plasmid unnamed 2:NZ_CP015198.1/CP015198.1,-,3,2274,2074,4/19/2016,4/12/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/623/565/GCF_001623565.1_ASM162356v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/623/565/GCA_001623565.1_ASM162356v1
Streptococcus himalayensis,HTS2,51912,SAMN05560386 ,PRJNA338655,Terrabacteria group,Firmicutes,GCA_001708305.1 ,2.27547,41.3,chromosome:NZ_CP016953.1/CP016953.1,-,1,2164,2019,8/23/2016,4/13/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/708/305/GCF_001708305.1_ASM170830v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/708/305/GCA_001708305.1_ASM170830v1
Streptococcus acidominimus,NCTC11291,21970,SAMEA4504048 ,PRJEB6403,Terrabacteria group,Firmicutes,GCA_900187245.1 ,2.33081,39.9,chromosome 1:NZ_LT906454.1/LT906454.1,-,1,2321,2032,8/15/2017,8/28/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/187/245/GCF_900187245.1_51470_D02,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/187/245/GCA_900187245.1_51470_D02
Streptococcus troglodytae,TKU 31,20116,SAMD00017730 ,PRJDB2913,Terrabacteria group,Firmicutes,GCA_002355215.1 ,2.09787,37.2,chromosome:AP014612.1,-,1,2162,2082,2/4/2015,2/14/2017,Complete Genome,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/355/215/GCA_002355215.1_ASM235521v1
Streptococcus merionis,NCTC13788,21963,SAMEA4412692 ,PRJEB6403,Terrabacteria group,Firmicutes,GCA_900187085.1 ,2.38413,41.8,chromosome 1:NZ_LT906439.1/LT906439.1,-,1,2240,2126,8/15/2017,8/28/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/187/085/GCF_900187085.1_50624_E01,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/187/085/GCA_900187085.1_50624_E01
Streptococcus sp. I-G2,I-G2,20107,SAMN02299294 ,PRJNA214027,Terrabacteria group,Firmicutes,GCA_000479335.1 ,1.99257,42.1,chromosome:NC_022584.1/CP006805.1,-,1,1942,1811,10/24/2013,4/9/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/479/335/GCF_000479335.1_ASM47933v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/479/335/GCA_000479335.1_ASM47933v1
Streptococcus parasanguinis FW213,FW213,20107,SAMN02603112 ,PRJNA76769,Terrabacteria group,Firmicutes,GCA_000262145.1 ,2.17161,41.6,chromosome:NC_017905.1/CP003122.1,-,1,2117,1964,5/9/2012,3/30/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/262/145/GCF_000262145.1_ASM26214v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/262/145/GCA_000262145.1_ASM26214v1
Streptococcus gallolyticus UCN34,UCN34,54197,SAMEA2272396 ,PRJEA34729,Terrabacteria group,Firmicutes,GCA_000027185.1 ,2.35091,37.6,chromosome:NC_013798.1/FN597254.1,-,1,2342,2209,2/10/2010,4/10/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/027/185/GCF_000027185.1_ASM2718v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/027/185/GCA_000027185.1_ASM2718v1
Streptococcus anginosus C1051,C1051,20109,SAMN02603662 ,PRJNA50423,Terrabacteria group,Firmicutes,GCA_000463465.1 ,1.91171,39,chromosome:NC_022244.1/CP003860.1,-,1,1908,1755,9/3/2013,4/1/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/463/465/GCF_000463465.1_ASM46346v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/463/465/GCA_000463465.1_ASM46346v1
Streptococcus constellatus subsp. pharyngis C1050,C1050,21002,SAMN02603661 ,PRJNA50421,Terrabacteria group,Firmicutes,GCA_000463425.1 ,1.99116,38.1,chromosome:NC_022238.1/CP003859.1,-,1,2029,1833,9/3/2013,4/1/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/463/425/GCF_000463425.1_ASM46342v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/463/425/GCA_000463425.1_ASM46342v1
Streptococcus oralis,S.MIT/ORALIS-351,20104,SAMN06179980 ,PRJNA358614,Terrabacteria group,Firmicutes,GCA_001983955.1 ,1.96691,41,chromosome:NZ_CP019562.1/CP019562.1,-,1,1963,1830,2/3/2017,4/6/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/983/955/GCF_001983955.1_ASM198395v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/983/955/GCA_001983955.1_ASM198395v1
Streptococcus intermedius JTH08,JTH08,21002,SAMD00060960 ,PRJDA33443,Terrabacteria group,Firmicutes,GCA_000306805.1 ,1.93361,37.7,chromosome:NC_018073.1/AP010969.1,-,1,1926,1787,6/16/2012,3/30/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/306/805/GCF_000306805.1_ASM30680v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/306/805/GCA_000306805.1_ASM30680v1
Streptococcus iniae,89353,21292,SAMN05967356 ,PRJNA352154,Terrabacteria group,Firmicutes,GCA_001885145.1 ,2.09865,36.8,chromosome:NZ_CP017952.1/CP017952.1,-,1,2030,1871,11/22/2016,4/5/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/885/145/GCF_001885145.1_ASM188514v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/885/145/GCA_001885145.1_ASM188514v1
Streptococcus gordonii,IE35,22714,SAMN03445771 ,PRJNA279321,Terrabacteria group,Firmicutes,GCA_000970665.2 ,2.1901,40.5,chromosome:NZ_CP017295.1/CP017295.1,-,1,2136,2029,9/28/2016,4/5/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/970/665/GCF_000970665.2_ASM97066v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/970/665/GCA_000970665.2_ASM97066v2
Streptococcus infantarius,ICDDRB-NRC-S5,20118,SAMN04348603 ,PRJNA306242,Terrabacteria group,Firmicutes,GCA_001477615.1 ,1.81829,37.7,chromosome:NZ_CP013689.1/CP013689.1,-,1,1852,1615,12/22/2015,4/11/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/477/615/GCF_001477615.1_ASM147761v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/477/615/GCA_001477615.1_ASM147761v1
Streptococcus equi subsp. zooepidemicus MGCS10565,MGCS10565; ATCC BAA1716,20124,SAMN02603943 ,PRJNA30781,Terrabacteria group,Firmicutes,GCA_000020765.1 ,2.02417,41.8,chromosome:NC_011134.1/CP001129.1,-,1,1909,1735,8/11/2008,4/6/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/020/765/GCF_000020765.1_ASM2076v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/765/GCA_000020765.1_ASM2076v1
Streptococcus mutans NN2025,NN2025,20116,SAMD00060939 ,PRJDA28997,Terrabacteria group,Firmicutes,GCA_000091645.1 ,2.01359,36.8,chromosome:NC_013928.1/AP010655.1,-,1,2024,1876,8/1/2009,3/22/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/091/645/GCF_000091645.1_ASM9164v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/091/645/GCA_000091645.1_ASM9164v1
Streptococcus dysgalactiae subsp. equisimilis GGS_124,GGS_124,20125,SAMD00060937 ,PRJDA27849,Terrabacteria group,Firmicutes,GCA_000010705.1 ,2.10634,39.6,chromosome 1:NC_012891.1/AP010935.1,-,1,2133,1957,7/1/2009,5/10/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/705/GCF_000010705.1_ASM1070v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/705/GCA_000010705.1_ASM1070v1
Streptococcus mitis,KCOM 1350 (= ChDC B183),20104,SAMN03263069 ,PRJNA270122,Terrabacteria group,Firmicutes,GCA_001281025.1 ,1.90634,40.2,chromosome:NZ_CP012646.1/CP012646.1,-,1,1934,1792,9/11/2015,4/4/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/281/025/GCF_001281025.1_ASM128102v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/281/025/GCA_001281025.1_ASM128102v1
Streptococcus salivarius JIM8777,JIM8777,20120,SAMEA2272047 ,PRJEA67171,Terrabacteria group,Firmicutes,GCA_000253315.1 ,2.21057,40.1,chromosome:NC_017595.1/FR873482.1,-,1,2059,1932,6/27/2011,3/30/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/253/315/GCF_000253315.1_ASM25331v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/253/315/GCA_000253315.1_ASM25331v1
Streptococcus thermophilus LMG 18311,LMG 18311,51009,SAMN02604079 ,PRJNA13162,Terrabacteria group,Firmicutes,GCA_000011825.1 ,1.79685,39.1,chromosome:NC_006448.1/CP000023.1,-,1,1925,1621,11/15/2004,4/11/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/825/GCF_000011825.1_ASM1182v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/825/GCA_000011825.1_ASM1182v1
Streptococcus suis GZ1,GZ1,20103,SAMN02603644 ,PRJNA18737,Terrabacteria group,Firmicutes,GCA_000018185.1 ,2.03803,41.4,chromosome:NC_017617.1/CP000837.1,-,1,2043,1869,3/30/2010,3/15/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/018/185/GCF_000018185.1_ASM1818v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/018/185/GCA_000018185.1_ASM1818v1
Streptococcus agalactiae A909,A909,20122,SAMN02604011 ,PRJNA326,Terrabacteria group,Firmicutes,GCA_000012705.1 ,2.12784,35.6,chromosome:NC_007432.1/CP000114.1,-,1,2207,2040,9/29/2005,3/15/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/705/GCF_000012705.1_ASM1270v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/705/GCA_000012705.1_ASM1270v1
Streptococcus pneumoniae TIGR4,TIGR4; ATCC BAA-334,20104,SAMN02604002 ,PRJNA277,Terrabacteria group,Firmicutes,GCA_000006885.1 ,2.16084,39.7,chromosome:NC_003028.3/AE005672.3,-,1,2344,2092,10/3/2001,3/15/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/885/GCF_000006885.1_ASM688v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/885/GCA_000006885.1_ASM688v1
Streptococcus pyogenes MGAS8232,MGAS8232,20126,SAMN02603495 ,PRJNA286,Terrabacteria group,Firmicutes,GCA_000007285.1 ,1.89502,38.5,chromosome:NC_003485.1/AE009949.1,-,1,1986,1847,1/31/2002,3/22/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/285/GCF_000007285.1_ASM728v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/285/GCA_000007285.1_ASM728v1
Streptococcus pyogenes MGAS315,MGAS315,20126,SAMN02603496 ,PRJNA311,Terrabacteria group,Firmicutes,GCA_000007425.1 ,1.90052,38.6,chromosome:NC_004070.1/AE014074.1,-,1,1987,1850,7/18/2002,3/22/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/425/GCF_000007425.1_ASM742v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/425/GCA_000007425.1_ASM742v1
Streptococcus pneumoniae D39,D39,20104,SAMN02604051 ,PRJNA16374,Terrabacteria group,Firmicutes,GCA_000014365.1 ,2.04611,39.7,chromosome:NC_008533.1/CP000410.1,-,1,2220,1996,10/12/2006,4/6/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/365/GCF_000014365.1_ASM1436v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/014/365/GCA_000014365.1_ASM1436v1
Streptococcus agalactiae NEM316,NEM316,20122,SAMEA3138330 ,PRJNA334,Terrabacteria group,Firmicutes,GCA_000196055.1 ,2.21149,35.6,chromosome:NC_004368.1/AL732656.1,-,1,2273,2127,11/7/2002,3/15/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/196/055/GCF_000196055.1_ASM19605v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/196/055/GCA_000196055.1_ASM19605v1
Streptococcus suis SC84,SC84,20103,SAMEA2272312 ,PRJEA32239,Terrabacteria group,Firmicutes,GCA_000026725.1 ,2.0959,41.1,chromosome:NC_012924.1/FM252031.1,-,1,2104,1983,7/7/2009,3/15/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/026/725/GCF_000026725.1_ASM2672v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/725/GCA_000026725.1_ASM2672v1
Streptococcus thermophilus CNRZ1066,CNRZ1066,51009,SAMN02603344 ,PRJNA13163,Terrabacteria group,Firmicutes,GCA_000011845.1 ,1.79623,39.1,chromosome:NC_006449.1/CP000024.1,-,1,1936,1638,11/15/2004,4/11/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/845/GCF_000011845.1_ASM1184v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/845/GCA_000011845.1_ASM1184v1
Streptococcus salivarius CCHSS3,CCHSS3,20120,SAMEA2272545 ,PRJEA67173,Terrabacteria group,Firmicutes,GCA_000253335.1 ,2.21718,39.9,chromosome:NC_015760.1/FR873481.1,-,1,2096,1937,6/27/2011,3/30/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/253/335/GCF_000253335.1_ASM25333v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/253/335/GCA_000253335.1_ASM25333v1
Streptococcus mitis,SVGS_061,20104,SAMN04461788 ,PRJNA311086,Terrabacteria group,Firmicutes,GCA_001560895.1 ,2.16792,40,chromosome:NZ_CP014326.1/CP014326.1,-,1,2113,1917,2/12/2016,4/4/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/560/895/GCF_001560895.1_ASM156089v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/560/895/GCA_001560895.1_ASM156089v1
Streptococcus dysgalactiae subsp. equisimilis ATCC 12394,ATCC 12394,20125,SAMN02603163 ,PRJNA39783,Terrabacteria group,Firmicutes,GCA_000188715.1 ,2.15949,39.5,chromosome:NC_017567.1/CP002215.1,-,1,2118,1887,2/10/2011,3/30/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/188/715/GCF_000188715.1_ASM18871v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/188/715/GCA_000188715.1_ASM18871v1
Streptococcus mutans GS-5,GS-5,20116,SAMN02603489 ,PRJNA168469,Terrabacteria group,Firmicutes,GCA_000271865.1 ,2.02709,36.8,chromosome:NC_018089.1/CP003686.1,-,1,2024,1842,6/25/2012,3/23/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/271/865/GCF_000271865.1_ASM27186v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/271/865/GCA_000271865.1_ASM27186v1
Streptococcus equi subsp. equi 4047,4047,20124,SAMEA2272426 ,PRJEA30765,Terrabacteria group,Firmicutes,GCA_000026585.1 ,2.25379,41.3,chromosome:NC_012471.1/FM204883.1,-,1,2175,1914,3/26/2009,3/22/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/026/585/GCF_000026585.1_ASM2658v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/585/GCA_000026585.1_ASM2658v1
Streptococcus gordonii,KCOM 1506 (= ChDC B679),22714,SAMN03263085 ,PRJNA270133,Terrabacteria group,Firmicutes,GCA_001281105.1 ,2.28331,40.6,chromosome:NZ_CP012648.1/CP012648.1,-,1,2270,2129,9/11/2015,4/4/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/281/105/GCF_001281105.1_ASM128110v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/281/105/GCA_001281105.1_ASM128110v1
Streptococcus iniae,QMA0248,21292,SAMN06909305 ,PRJNA385746,Terrabacteria group,Firmicutes,GCA_002220115.1 ,2.11657,36.8,chromosome:NZ_CP022392.1/CP022392.1,-,1,2055,1920,7/17/2017,7/19/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/220/115/GCF_002220115.1_ASM222011v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/220/115/GCA_002220115.1_ASM222011v1
Streptococcus intermedius C270,C270,21002,SAMN02603658 ,PRJNA50413,Terrabacteria group,Firmicutes,GCA_000463385.1 ,1.96073,37.6,chromosome:NC_022237.1/CP003858.1,-,1,1943,1788,9/3/2013,4/1/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/463/385/GCF_000463385.1_ASM46338v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/463/385/GCA_000463385.1_ASM46338v1
Streptococcus oralis,FDAARGOS_367,20104,SAMN07312411 ,PRJNA231221,Terrabacteria group,Firmicutes,GCA_002386345.1 ,2.05321,40.9,chromosome:NZ_CP023507.1/CP023507.1,-,1,2045,1912,9/28/2017,10/1/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/386/345/GCF_002386345.1_ASM238634v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/386/345/GCA_002386345.1_ASM238634v1
Streptococcus constellatus subsp. pharyngis C818,C818,21002,SAMN02603660 ,PRJNA50419,Terrabacteria group,Firmicutes,GCA_000463445.1 ,1.93566,38.2,chromosome:NC_022245.1/CP003840.1,-,1,1983,1783,9/3/2013,4/2/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/463/445/GCF_000463445.1_ASM46344v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/463/445/GCA_000463445.1_ASM46344v1
Streptococcus anginosus subsp. whileyi MAS624,MAS624,20109,SAMD00061060 ,PRJDB81,Terrabacteria group,Firmicutes,GCA_000478925.1 ,2.12228,38.3,chromosome:NZ_AP013072.1/AP013072.1,-,1,2153,1938,7/4/2013,4/2/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/478/925/GCF_000478925.1_ASM47892v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/478/925/GCA_000478925.1_ASM47892v1
Streptococcus gallolyticus subsp. gallolyticus ATCC BAA-2069,ATCC BAA-2069,54197,SAMEA2272408 ,PRJEA63179,Terrabacteria group,Firmicutes,GCA_000203195.1 ,2.37721,37.5974,chromosome:NC_015215.1/FR824043.1; plasmid pSGG1:NC_015219.1/FR824044.1,-,2,2379,2220,3/3/2011,3/30/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/203/195/GCF_000203195.1_ASM20319v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/203/195/GCA_000203195.1_ASM20319v1
Streptococcus sp. oral taxon 431,F0610 (5-114),20104,SAMN04435859 ,PRJNA282954,Terrabacteria group,Firmicutes,GCA_001553685.1 ,2.1779,39.7,chromosome:NZ_CP014264.1/CP014264.1,-,1,2099,1945,2/9/2016,4/16/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/553/685/GCF_001553685.1_ASM155368v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/553/685/GCA_001553685.1_ASM155368v1
Streptococcus sp. A12,A12,20107,SAMN04287214 ,PRJNA302800,Terrabacteria group,Firmicutes,GCA_001587175.1 ,1.87434,42.2,chromosome:NZ_CP013651.1/CP013651.1,-,1,1854,1739,3/11/2016,4/12/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/587/175/GCF_001587175.1_ASM158717v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/587/175/GCA_001587175.1_ASM158717v1
Streptococcus gallolyticus subsp. gallolyticus ATCC 43143,ATCC 43143,54197,SAMD00060983 ,PRJDA62517,Terrabacteria group,Firmicutes,GCA_000270145.1 ,2.36224,37.5,chromosome:NC_017576.1/AP012053.1,-,1,2356,2233,5/28/2011,3/30/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/270/145/GCF_000270145.1_ASM27014v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/270/145/GCA_000270145.1_ASM27014v1
Streptococcus anginosus,SA1,20109,SAMN05771128 ,PRJNA243855,Terrabacteria group,Firmicutes,GCA_000831165.1 ,2.03635,38.9,chromosome:NZ_CP007573.1/CP007573.1,-,1,1992,1831,8/21/2014,4/3/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/831/165/GCF_000831165.1_ASM83116v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/831/165/GCA_000831165.1_ASM83116v1
Streptococcus intermedius,FDAARGOS_233,21002,SAMN04875570 ,PRJNA231221,Terrabacteria group,Firmicutes,GCA_002073355.1 ,1.91389,37.7,chromosome:NZ_CP020433.1/CP020433.1,-,1,1918,1710,3/29/2017,4/11/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/073/355/GCF_002073355.1_ASM207335v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/073/355/GCA_002073355.1_ASM207335v1
Streptococcus gordonii,FDAARGOS_257,22714,SAMN04875583 ,PRJNA231221,Terrabacteria group,Firmicutes,GCA_002073435.1 ,2.22247,40.4,chromosome:NZ_CP020450.1/CP020450.1,-,1,2185,1945,3/29/2017,4/11/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/073/435/GCF_002073435.1_ASM207343v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/073/435/GCA_002073435.1_ASM207343v1
Streptococcus equi subsp. zooepidemicus ATCC 35246,ATCC 35246,20124,SAMN02603034 ,PRJNA68327,Terrabacteria group,Firmicutes,GCA_000219765.1 ,2.16726,41.6,chromosome:NC_017582.1/CP002904.1,-,1,2060,1894,6/30/2011,3/22/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/219/765/GCF_000219765.1_ASM21976v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/219/765/GCA_000219765.1_ASM21976v1
Streptococcus mutans LJ23,LJ23,20116,SAMD00061051 ,PRJDB67,Terrabacteria group,Firmicutes,GCA_000284575.1 ,2.01563,37.1,chromosome:NC_017768.1/AP012336.1,-,1,2028,1878,3/6/2012,3/23/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/284/575/GCF_000284575.1_ASM28457v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/284/575/GCA_000284575.1_ASM28457v1
Streptococcus dysgalactiae subsp. equisimilis RE378,RE378,20125,SAMD00060962 ,PRJDA34711,Terrabacteria group,Firmicutes,GCA_000307185.1 ,2.15115,39.5,chromosome:NC_018712.1/AP011114.1,-,1,2103,1896,10/3/2012,3/30/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/307/185/GCF_000307185.1_ASM30718v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/307/185/GCA_000307185.1_ASM30718v1
Streptococcus salivarius 57.I,57.I,20120,SAMN02603111 ,PRJNA68129,Terrabacteria group,Firmicutes,GCA_000305335.2 ,2.17956,39.9243,chromosome:CP002888.1;  phage_YMC-2011:NC_018285.1/CP002889.1,-,2,2083,1996,7/5/2011,1/30/2014,Complete Genome,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/305/335/GCA_000305335.2_ASM30533v2
Streptococcus thermophilus LMD-9,LMD-9,51009,SAMN02598313 ,PRJNA13773,Terrabacteria group,Firmicutes,GCA_000014485.1 ,1.86418,39.0878,chromosome:NC_008532.1/CP000419.1; plasmid 1:NC_008500.1/CP000420.1; plasmid 2:NC_008501.1/CP000421.1,-,3,2000,1681,10/13/2006,4/11/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/485/GCF_000014485.1_ASM1448v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/014/485/GCA_000014485.1_ASM1448v1
Streptococcus suis P1/7,P1/7,20103,SAMEA3138299 ,PRJNA352,Terrabacteria group,Firmicutes,GCA_000091905.1 ,2.00749,41.3,chromosome:NC_012925.1/AM946016.1,-,1,2021,1900,7/7/2009,3/15/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/091/905/GCF_000091905.1_ASM9190v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/091/905/GCA_000091905.1_ASM9190v1
Streptococcus agalactiae GD201008-001,GD201008-001,20122,SAMN02603155 ,PRJNA169338,Terrabacteria group,Firmicutes,GCA_000299135.1 ,2.06311,35.6,chromosome:NC_018646.1/CP003810.1,-,1,2122,1967,9/24/2012,3/15/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/299/135/GCF_000299135.1_ASM29913v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/299/135/GCA_000299135.1_ASM29913v1
